,Description,Gerne,Label
10,"Hành Lang Hai Lớp
GIỚI THIỆU TÁC GIẢ:
Hoa Cỏ là bạn trẻ thích mèo, thích ngắm mây trời, ao ước cuộc sống bình yên được trồng hoa, nằm dài trên cỏ, và thích làm nhiều điều để cuộc sống này đáng yêu hơn.
GIỚI THIỆU TÁC PHẨM:
“Đám trẻ nhận ra những năm tháng tưởng chừng chẳng có gánh nặng nào trên đôi vai nhưng có đến hàng ngàn lời khó nói được cất giấu sau những trò đùa và tiếng cười giòn tan kia. Có lẽ niềm an ủi dưới mái trường này là thứ tình cảm đơn thuần tụi nó dành cho nhau, đôi khi nghịch ngợm ngốc nghếch, đôi khi hờn dỗi vu vơ.”
HÀNH LANG HAI LỚP là hành trình tìm kiếm âm thanh hoa nở của những tâm hồn non dại chưa tìm thấy bình yên, đồng thời gửi gắm đến bạn đọc trẻ những lời an ủi và đồng cảm như những cái ôm đến các bạn.",Tiểu Thuyết,1
11,"Thằng Quỷ Nhỏ
Truyện dài đặc sắc nhất của Nguyễn Nhật Ánh.
Tập truyện được sinh viên học sinh rất đỗi say mê.
Bởi sự dí dỏm, bởi tình người, bởi những hình ảnh rất học sinh, rất áo trắng.
Hãy làm quen với Thằng quỷ nhỏ vẩy tai lừa có cái tên con gái là Quỳnh… cùng những người bạn dễ thương khác như Hạnh, Nga….",Tiểu Thuyết,1
12,"Mắt Biếc
Một tác phẩm được nhiều người bình chọn là hay nhất của nhà văn này.
Một tác phẩm đang được dịch và giới thiệu tại Nhật Bản (theo thông tin từ các báo)…
Bởi sự trong sáng của một tình cảm, bởi cái kết thúc rất, rất buồn khi suốt câu chuyện vẫn là những điều vui, buồn lẫn lộn (cái kết thúc không như mong đợi của mọi người).
Cũng bởi, mắt biếc… năm xưa nay đâu (theo lời một bài hát)",Tiểu Thuyết,1
13,"Thiên Thần Nhỏ Của Tôi
Khi dọn về ngôi nhà mới, Kha có một cô bạn nghèo sống trong ngõ hẻm gần đó.
Khu vườn và ngôi biệt thự mà cha mẹ Kha được cấp không ngờ là nơi quen thuộc của Hồng Hoa, cứ như cô ấy đã gắn bó với nó từ lâu rồi.
Vì thế, dù bị chủ nhà mới ngăn cấm, cô vẫn lén lút tìm vào khu vườn, để rồi gặp phải tai nạn... Và…",Tiểu Thuyết,1
14,"Bà Nội Găngxtơ Tái Xuất!
Không còn mùi bắp cải ám ảnh mọi đồ vật, không còn những bữa cà kê ngồi chơi trò xếp chữ, và đặc biệt là không còn những đêm phiêu lưu kịch tính cùng tay trộm trang sức khét tiếng quốc tế Mèo Đen... Ben giờ đã dần quen với cuộc sống vắng bóng bà nội kính yêu.
Ấy thế nhưng, một loạt báu vật lại bốc hơi giữa đêm đen!
Và mọi dấu vết đều chỉ về phía người bà ĐÃ KHUẤT của Ben.
Liệu có thể nào bà nội găngxtơ đã trở lại?
Nối tiếp một siêu phẩm đã thành công vang dội, David Walliams tiếp tục lôi kéo thêm những người hâm mộ mới vào biệt đội hàng triệu những độc giả đã yêu mến Bà nội găng xtơ.",Tiểu Thuyết,1
15,"Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị. Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời. Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời để nhớ.",Tiểu Thuyết,1
16,"Bảy Bước Tới Mùa Hè
Câu chuyện về một mùa hè ngọt ngào, những trò chơi nghịch ngợm và bâng khuâng tình cảm tuổi mới lớn. Chỉ vậy thôi nhưng chứng tỏ tác giả đúng là nhà kể chuyện hóm hỉnh, khiến đọc cuốn hút từ tựa đến trang cuối cùng, có lẽ chính vì giọng văn giản dị và trong trẻo của Nguyễn Nhật Ánh, và kết thúc thì có hậu đầy thuyết phục. Câu chuyện cho tuổi học trò, đọc xong là thấy ngập lên khao khát quay về một thời thơ bé, với tình thầy trò, bè bạn, tình xóm giềng, họ hàng, qua cách nhìn đời nhẹ nhõm, rộng lượng.
Cuốn sách này nhà văn đề tặng “Những năm tháng ấu thơ”, tặng các bạn thời nhỏ, cũng là tặng bạn đọc thân thiết của mình.",Tiểu Thuyết,1
17,"Tôi Thấy Hoa Vàng Trên Cỏ Xanh
Những câu chuyện nhỏ xảy ra ở một ngôi làng nhỏ: chuyện người, chuyện cóc, chuyện ma, chuyện công chúa và hoàng tử , rồi chuyện đói ăn, cháy nhà, lụt lội,... Bối cảnh là trường học, nhà trong xóm, bãi tha ma. Dẫn chuyện là cậu bé 15 tuổi tên Thiều. Thiều có chú ruột là chú Đàn, có bạn thân là cô bé Mận. Nhưng nhân vật đáng yêu nhất lại là Tường, em trai Thiều, một cậu bé học không giỏi. Thiều, Tường và những đứa trẻ sống trong cùng một làng, học cùng một trường, có biết bao chuyện chung. Chúng nô đùa, cãi cọ rồi yêu thương nhau, cùng lớn lên theo năm tháng, trải qua bao sự kiện biến cố của cuộc đời.
Tác giả vẫn giữ cách kể chuyện bằng chính giọng trong sáng hồn nhiên của trẻ con. 81 chương ngắn là 81 câu chuyện hấp dẫn với nhiều chi tiết thú vị, cảm động, có những tình tiết bất ngờ, từ đó lộ rõ tính cách người. Cuốn sách, vì thế, có sức ám ảnh.",Tiểu Thuyết,1
18,"Bà Nội Găngxtơ Tái Xuất!
Không còn mùi bắp cải ám ảnh mọi đồ vật, không còn những bữa cà kê ngồi chơi trò xếp chữ, và đặc biệt là không còn những đêm phiêu lưu kịch tính cùng tay trộm trang sức khét tiếng quốc tế Mèo Đen... Ben giờ đã dần quen với cuộc sống vắng bóng bà nội kính yêu.
Ấy thế nhưng, một loạt báu vật lại bốc hơi giữa đêm đen!
Và mọi dấu vết đều chỉ về phía người bà ĐÃ KHUẤT của Ben.
Liệu có thể nào bà nội găngxtơ đã trở lại?
Nối tiếp một siêu phẩm đã thành công vang dội, David Walliams tiếp tục lôi kéo thêm những người hâm mộ mới vào biệt đội hàng triệu những độc giả đã yêu mến Bà nội găng xtơ.",Tiểu Thuyết,1
19,"Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị. Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời. Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời để nhớ.",Tiểu Thuyết,1
20,"Bảy Bước Tới Mùa Hè
Câu chuyện về một mùa hè ngọt ngào, những trò chơi nghịch ngợm và bâng khuâng tình cảm tuổi mới lớn. Chỉ vậy thôi nhưng chứng tỏ tác giả đúng là nhà kể chuyện hóm hỉnh, khiến đọc cuốn hút từ tựa đến trang cuối cùng, có lẽ chính vì giọng văn giản dị và trong trẻo của Nguyễn Nhật Ánh, và kết thúc thì có hậu đầy thuyết phục. Câu chuyện cho tuổi học trò, đọc xong là thấy ngập lên khao khát quay về một thời thơ bé, với tình thầy trò, bè bạn, tình xóm giềng, họ hàng, qua cách nhìn đời nhẹ nhõm, rộng lượng.
Cuốn sách này nhà văn đề tặng “Những năm tháng ấu thơ”, tặng các bạn thời nhỏ, cũng là tặng bạn đọc thân thiết của mình.",Tiểu Thuyết,1
21,"Tôi Thấy Hoa Vàng Trên Cỏ Xanh
Những câu chuyện nhỏ xảy ra ở một ngôi làng nhỏ: chuyện người, chuyện cóc, chuyện ma, chuyện công chúa và hoàng tử , rồi chuyện đói ăn, cháy nhà, lụt lội,... Bối cảnh là trường học, nhà trong xóm, bãi tha ma. Dẫn chuyện là cậu bé 15 tuổi tên Thiều. Thiều có chú ruột là chú Đàn, có bạn thân là cô bé Mận. Nhưng nhân vật đáng yêu nhất lại là Tường, em trai Thiều, một cậu bé học không giỏi. Thiều, Tường và những đứa trẻ sống trong cùng một làng, học cùng một trường, có biết bao chuyện chung. Chúng nô đùa, cãi cọ rồi yêu thương nhau, cùng lớn lên theo năm tháng, trải qua bao sự kiện biến cố của cuộc đời.
Tác giả vẫn giữ cách kể chuyện bằng chính giọng trong sáng hồn nhiên của trẻ con. 81 chương ngắn là 81 câu chuyện hấp dẫn với nhiều chi tiết thú vị, cảm động, có những tình tiết bất ngờ, từ đó lộ rõ tính cách người. Cuốn sách, vì thế, có sức ám ảnh.",Tiểu Thuyết,1
22,"Kì Lạ Thế Đấy Cuộc Đời Này
Kì lạ thế đấy cuộc đời này không dễ đọc, nhưng biết cách đọc, dám chắc, người ta sẽ đọc song song với một cuốn truyện nữa là năm tháng của cuộc đời mình...Người ta mổ xẻ sự kiện, mổ sẻ hoàn cảnh, nhưng mấy khi người ta mổ xẻ thời gian. Mà thời gian lại là cái chúng ta cần biết nhất, cần được kiểm kê nhất... Đấy mới là của cải của chính ta!
Kì lạ thế đấy cuộc đời này là câu chuyện về một con người dựng Hệ Thống thay đổi chất lượng Thời Gian cuộc đời mình và trở nên vĩ đại vì đã làm chủ được từng khoảnh khắc ngắn ngủi của thời gian ấy...",Tiểu Thuyết,1
23,"Ông nội Jack từng là phi công xịn của Không quân Hoàng gia Anh, nhưng giờ ông...
*đi dép trong nhà đến siêu thị
*nấu món thịt muối à la trứng sữa vào bữa tối
*và thường chẳng nhớ nổi tên Jack
Nhưng ông vẫn có thể lèo lái chiếc tiêm kích Spitfire huyền thoại và giải cứu thế giới...
""Đây là chuyến phiêu lưu táo bạo nhất từ trước tới nay của Walliams, những lối kể chuyện lại vô cùng dịu dàng, mềm mại. Câu chuyện đánh cắp trái tim chúng ta theo cách chỉ David mới có thể làm..."" - Ann-Janine Murtagh
""Cuối cùng Roald Dahl đã tìm được người thừa kế xứng đáng."" - Telegraph",Tiểu Thuyết,1
24,"Nhóm Tanjiro đã lên “Chuyến tàu vô tận” - địa điểm của nhiệm vụ tiếp theo. Chỉ trong một thời gian ngắn, nơi này đã ghi nhận nhiều trường hợp hành khách một đi không trở lại. Cả nhóm sẽ tập hợp cùng Viêm trụ Rengoku Kyojuro - một trong những kiếm sĩ mạnh nhất của đội Diệt quỷ để tìm hiểu nguyên nhân đằng sau những vụ mất tích bí ẩn… Sân khấu cho trận đối đầu với quỷ trên “Chuyến tàu vô tận” chuẩn bị vén màn…!!
Koyoharu Gotouge
Bắt đầu đăng tải “Thanh gươm diệt quỷ” lên tuần san Shonen Jump số 11 năm 2016. Với dàn nhân vật và cốt truyện hấp dẫn, bộ truyện đã nhận được sự đón nhận từ đông đảo độc giả.
Aya Yajima
Cây viết được yêu thích, hiện đang phóng tác ngoại truyện cho một số tác phẩm, trong đó có series
“Thanh gươm diệt quỷ”. Đã xuất bản nhiều ấn phẩm, bao gồm cả sách tự sáng tác.",Tiểu Thuyết,1
25,"Còn Chút Gì Để Nhớ
Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị.
Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời.
Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời để nhớ.",Tiểu Thuyết,1
26,"“Đời thừa” - ấn bản mới phát hành 2016 của Minh Long Book tuyển chọn những truyện ngắn đặc sắc của Nam Cao xoay quanh cuộc sống người trí thức, với những tuyên ngôn để đời của nhà văn Nam Cao về văn chương, nghệ thuật.
Qua sáng tác của mình, Nam Cao thể hiện quan điểm nghệ thuật rằng, một tác phẩm NXB Văn Học phải vượt lên trên tất cả các bờ cõi và giới hạn, phải là một tác phẩm chung cho cả loài người. “Nó phải chứa đựng được một cái gì lớn lao, mạnh mẽ, vừa đau đớn, lại vừa phấn khởi; ca tụng tình yêu, bác ái, công bằng” và ""Văn chương không cần đến sự khéo tay, làm theo một cái khuôn mẫu. Văn chương chỉ dung nạp những người biết đào sâu, biết tìm tòi, khơi những nguồn chưa ai khơi và sáng tạo ra cái gì chưa có"". Ông đòi hỏi nhà văn phải có lương tâm, có nhân cách xứng với nghề; và cho rằng sự cẩu thả trong văn chương chẳng những là bất lương mà còn là đê tiện.",Tiểu Thuyết,1
27,"Gọi Em Bằng Tên Anh
Gọi em bằng tên anh là câu chuyện tình yêu bất ngờ và mạnh mẽ nảy nở giữa thiếu niên 17 tuổi tên Elio với Oliver, một học giả Mỹ là khách trọ mùa hè ở căn biệt thự của ba mẹ Elio tại vùng duyên hải Riviera nước Ý thập niên 1980. Trong những tuần mùa hè sôi động ấy, dòng chảy cuồn cuộn ám ảnh và đam mê bị kìm nén càng làm mãnh liệt thêm tình yêu giữa hai chàng trai trẻ. Cuốn tiểu thuyết đầu tay của André Aciman là một khúc bi ca chân thành và cảm động dành cho tình yêu con người. Một cuốn sách không thể nào quên.",Tiểu Thuyết,1
28,"Chúa Ruồi (Tái Bản 2020)
Nobel văn chương 1983
Trong một cuộc chiến tranh nguyên tử, mấy chục đứa trẻ chưa đến tuổi thiếu niên “may mắn” sống sót trên một hoang đảo sau khi chiếc máy bay chở chúng đi sơ tán bị trúng đạn. Chúng tập họp dưới bầu trời Nam Thái Bình Dương nắng gắt, chia sẻ gánh nặng và đặt niềm tin vào thủ lĩnh. Nhưng rồi, cái đói và thiên nhiên khắc nghiệt từng bước vắt kiệt bọn trẻ. Bản năng sinh tồn đã dần bóp nghẹt sự ngây thơ - từ đây thực tại của chúng tan hòa vào ác mộng.
Một câu truyện ngụ ngôn đau đớn và hãi hùng, ngập tràn những tư tưởng ẩn sâu dưới hàng hàng lớp lớp ẩn dụ và biểu tượng. Với Chúa ruồi, một câu chuyện phiêu lưu đầy ám ảnh, một kiệt tác văn học kinh điển, William Golding đã khiến các nhà phê bình văn học hao tổn giấy mực chỉ để tranh luận về một vấn đề:  Có thực ""nhân chi sơ tính bản thiện” hay chăng là… ngược lại?",Tiểu Thuyết,1
29,"Trước Vòng Chung Kết
Tràn ngập không khí bóng đá, không khí vỉa hè… đậm mùi hào hiệp, thượng võ.
Lẽ dĩ nhiên như cuộc đời, có đâu đó những mưu toan nhỏ nhen, những trò chơi bẩn… không đáng mặt anh hào.
Nhưng…. (chữ nhưng dành cho sự khám phá của các bạn)",Tiểu Thuyết,1
30,"Tình Yêu Ở Thành Phố Lớn
Young là một sinh viên Hàn Quốc hayhoài nghi nhưng vui tính. Anh và Jaehee, cô bạn thân kiêm bạn trọ cùng phòng thường xuyên dạo khắp các quán bar và quán nhậu, nơi họ kìm nén những lo lắng về tương lai bằng rượu soju và những mối tình chóng vánh.
Thời gian trôi, ngay cả Jaehee cũng dần ổn định cuộc sống, để Young lại một mình với những tổn thương từ rạn nứt gia đình chưa thể hàn gắn và tìm bạn đồng hành trong các mối quan hệ vắt kiệt mọi cảm xúc.
Tình yêu ở thành phố lớn là hành trình khám phá cuộc sống đồng tính cũng như nỗi cô đơn thế hệ của lớp trẻ Hàn Quốc hiện đại. Một cuốn tiểu thuyết tràn đầy năng lượng, hài hước và cảm động, mô tả trọn vẹn cả thế giới về đêm lấp lánh của Seoul lẫn buổi sáng mờ mịt sau đó của thành phố lớn cô liêu.",Tiểu Thuyết,1
31,"Đọc tựa cuốn sách mới nhất của nhà văn Nguyễn Nhật Ánh là muốn mở ngay trang sách. Bạn sẽ thấy một thứ ngôn ngữ lạ của Hàn Quốc hay của nước nào tùy bạn đoán, Gô un un là Chào buổi sáng; Un gô gô là Chúc ngủ ngon, và nữa, Chiếp un un; Ăng gô gô; Chiếp chiếp gô…
Sau chó Bê Tô, rồi Hai con mèo ngồi bên cửa sổ, nhà văn viết về một cặp heo
Nhân vật chính là hai con heo con, Lọ Nồi thông minh và Đeo Nơ xinh đẹp, cùng bạn chó Mõm Ngắn con chị Vện, mẹ Nái Sề, anh Đuôi Xoăn, Cánh Cụt và bọn gà chíp nhà chị Mái Hoa,… đã làm nên một câu chuyện vô cùng thú vị..
Và thế giới trở nên thay đổi!",Tiểu Thuyết,1
32,"One Piece - Tiểu Thuyết - Chuyện Về Law
Đảo Swallow, North Blue. Law và người chú Corazon đã phải chia lìa nhau sau một biến cố. Nhờ có được năng lực của trái Ope ope, Law may mắn giữ được mạng trước tình cảnh thập tử nhất sinh. Và cũng chính trên hòn đảo này, cậu đã có cuộc gặp gỡ với Bepo, Shachi và Penguin. Cuốn tiểu thuyết về sự trưởng thành của cậu bé Law, khắc họa mối quan hệ giữa cậu với một nhà sáng chế trên đảo, truyền thuyết về kho báu và chim én bay trong lòng biển và sự hình thành của Băng Hải tặc Heart, bắt đầu!",Tiểu Thuyết,1
33,"Mặc dù phép màu y học đã giúp thu hẹp khối u và ban thêm vài năm sống cho Hazel nhưng cuộc đời cô bé đang ở vào giai đoạn cuối, từng chương kế tiếp được viết theo kết quả chẩn đoán. Nhưng khi có một nhân vật điển trai tên là Augustus Waters đột nhiên xuất hiện tại Hội Tương Trợ Bệnh Nhi Ung Thư, câu chuyện của Hazel sắp được viết lại hoàn toàn.
Sâu sắc, táo bạo, ngang tàng, và thô ráp, Khi lỗi thuộc về những vì sao là tác phẩm thương tâm và tham vọng nhất của John Green, tác giả của những giải thưởng, nhưng đồng thời lại khám phá một cách khéo léo nét hài hước, li kỳ, và bi thảm của việc sống và việc yêu.",Tiểu Thuyết,1
34,"Đi Qua Hoa Cúc (Tái Bản 2022)
Mùa hè năm ấy, Trường cảm nhận được những rung động đầu đời trước một hình bóng thiếu nữ. Giữa khung cảnh yên bình của làng quê và những trò láu cá với đám bạn, Trường bắt đầu trải qua các cung bậc cảm xúc của một cậu trai rụt rè lần đầu biết yêu, biết ghen khi người mình thương có tình cảm với một người đàn ông khác. Tình yêu đầu của cậu rực rỡ như màu vàng của bông hoa cúc trong vườn mà hai người từng cùng nhau ngồi ngắm những ngày hè khi Trường 16 tuổi, sắc vàng ấy mang theo một nỗi buồn cứ neo mãi trong lòng Trường. Đi qua hoa cúc, chỉ còn lại tiếc nuối và hoài niệm đã xa.",Tiểu Thuyết,1
35,"Hồ Điệp Và Kình Ngư
Vào một buổi tối mùa hạ, Kinh Du đã cứu Hồ Điệp - cô gái vô tình ngã xuống biển mà không biết bơi, đó cũng là lần đầu tiên họ gặp nhau. Sau đó vì Hồ Điệp muốn cảm ơn việc anh cứu cô nên họ trở thành bạn bè, từ dạo ấy, cả hai cùng rủ nhau ngao du biển khơi, trải nghiệm nhiều điều thú vị. Kinh Du là chàng trai vô cùng tinh tế, còn Hồ Điệp là một cô gái rất đỗi dịu dàng và ấm áp, cả hai thân thiết với nhau lúc nào không hay.",Tiểu Thuyết,1
